Spørsmål ID,Spørsmål,A,DEMN,DNI,FRED,FRP,GENP,H,HELSE,INP,KRF,KRISTNE,MDG,PP,PS,RØDT,SP,SV,V
78ebd082-f76d-41e8-adc7-524f3eaeb2cb,Barnehage bør være gratis for alle,1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,1,-1,1,-2
85c0af13-8103-43ed-ae55-dcde01c24fb8,Dagens foreldrepermisjon bør utvides,-1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-1,-2,-2,1,-1,1,-2
05905b20-e20b-489e-b8c8-2676d0347476,Kontantstøtten bør avvikles,1,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,1,-2,1,1
6c454c67-90b9-4f06-bea0-0a6919f613b7,Småbarnsfamilier bør få en ekstra ferieuke,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,1,-2,-1,-2
e851aff2-b602-4daa-a9cf-70c1548f157d,Mindre av foreldrepermisjonen bør være låst til far eller medforelder,-2,-2,-2,-2,1,-2,1,-2,-2,1,-2,-1,-2,-2,-2,-2,-2,-2
db3ed4d1-c662-46a7-9937-1cd5dedf1a6f,Det skal være lov å tjene penger på å drive barnehage,-1,-2,-2,-2,1,-2,1,-2,-2,1,-2,-1,-2,-2,-2,1,-2,1
3eb01dd9-956c-477a-bc9a-55960bdb295d,Staten bør finansiere gratis prevensjon til alle,-1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,1,-1,1,-2
24f1d26c-ccfe-4054-b6fa-bf7d6913f6fe,Å tjene penger på å drive barnevernsinstitusjon bør forbys,1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,1,1,1,-2
59884f36-381d-4c36-8a61-40b0c33371a6,SFO bør være gratis,1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,1,1,1,1
ca47bd92-a90e-43ec-8974-77d7cda75528,Norge bør ta imot flere kvoteflyktninger enn vi gjør i dag,-1,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,1,-2,-2,1,-2,1,1
5e332cf9-553a-4226-9c43-e6c4debcacbf,Det bør innføres forbud mot å bruke hijab i grunnskolen,-1,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1
3c3236cc-7012-44ef-bcd9-e2627cf0b892,Dagens språkkrav for norsk statsborgerskap bør fjernes,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,1,-2,1,-1
bda13858-f927-430e-9eca-84d931798056,Kristne flyktninger bør prioriteres til Norge,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,-2,-2,-2,-2,-2,-2,-2
2c169eee-7de6-48eb-90f5-9cbf2266d5bd,Det bør være en tidsfrist på å trekke tilbake statsborgerskap,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,1,1,1,1
2a6b5b15-29e0-421d-a11d-491b86e1550d,Kravet om en viss inntekt for å få familiegjenforening bør fjernes,-2,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,1,-2,1,-1
a46c3d98-0ff3-4ef1-8792-7eb6a5444bbd,Asylsøkere som kommer til Norge bør sendes til asylsentre i utlandet,-2,-2,-2,-2,1,-2,1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2
b5a5f1d5-6e9f-4b8c-8866-3b9c14b9b5f1,Det bør være lov å tjene penger på å drive asylmottak,1,-2,-2,-2,1,-2,1,-2,-2,1,-2,1,-2,-2,-2,1,-2,1
60a5b5e1-4939-4ff7-a556-def4e03a37cb,Utlendingsnemnda (UNE) bør erstattes med en domstol for å avgjøre asylsaker\n\n,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,1,-2,1,1
7e5b6790-4583-4e27-b4fe-3f70617b8f4a,Asylsøkere som har vært i Norge i over ti år bør få varig opphold,-2,-2,-2,-2,1,-2,-2,-2,-2,1,-2,1,-2,-2,1,-2,1,1
